t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1581664131,45238,4412.838176,659.121864,136.254723,45.670797,events/second
1581664141,221113,10920.469337,3252.788465,705.519107,238.440050,events/second
1581664151,382918,12659.453290,5268.928100,1219.466345,416.817662,events/second
1581664161,567838,14108.610422,7277.700329,1782.185468,615.403143,events/second
1581664171,736678,14660.934319,8742.796672,2274.234159,794.082081,events/second
1581664181,905518,15029.925331,9986.195304,2752.924696,971.838563,events/second
1581664191,1069333,15222.334487,10979.565121,3202.852586,1143.201301,events/second
1581664201,1230133,15329.213644,11745.219041,3621.638543,1307.127372,events/second
1581664211,1390933,15412.414424,12411.972109,4030.127125,1470.368033,events/second
1581664221,1560778,15569.228816,13144.153391,4461.384092,1644.011039,events/second
1581664231,1720573,15606.442254,13580.073398,4839.020302,1802.415696,events/second
1581664241,1886398,15687.612031,14028.142108,5220.832402,1964.631726,events/second
1581664251,2051218,15748.600601,14387.498094,5586.640240,2123.923254,events/second
1581664261,2227093,15879.728758,14910.256527,5986.692240,2297.013814,events/second
1581664271,2381863,15852.919281,15007.541783,6298.260830,2442.696885,events/second
1581664281,2553718,15936.078849,15322.614669,6651.727468,2604.470126,events/second
1581664291,2721553,15985.854240,15571.310656,6987.565645,2762.296558,events/second
1581664301,2885368,16007.805042,15676.406024,7292.075927,2911.654460,events/second
1581664311,3051193,16038.010261,15801.364394,7593.412387,3061.607665,events/second
1581664321,3217018,16065.203615,15948.927728,7894.562016,3213.213810,events/second
1581664331,3378823,16070.684684,15966.479773,8162.802769,3355.374450,events/second
1581664341,3548668,16112.174471,16125.976912,8452.149684,3505.986405,events/second
1581664351,3718513,16150.060625,16255.848438,8731.791032,3654.909479,events/second
1581664361,3882328,16159.693858,16290.566836,8985.873104,3796.643836,events/second
1581664371,4037098,16132.413147,16139.952173,9192.307639,3923.510930,events/second
1581664381,4198903,16134.260083,16178.961637,9428.079767,4061.176113,events/second
1581664391,4364728,16150.843579,16244.124580,9662.766840,4199.547291,events/second
1581664401,4526533,16151.907400,16201.572413,9869.771618,4329.701929,events/second
1581664411,4684318,16139.042654,16189.333686,10073.641680,4459.568995,events/second
1581664421,4843108,16130.382540,16106.979705,10257.209664,4583.509782,events/second
1581664431,4992853,16093.124972,15944.697044,10414.990883,4699.418157,events/second
1581664441,5143603,16061.334415,15798.966498,10564.606651,4812.969234,events/second
1581664451,5295358,16034.509078,15683.969494,10712.310199,4926.342171,events/second
1581664461,5448118,16012.216621,15622.623693,10861.980658,5040.708031,events/second
1581664471,5598868,15985.458649,15569.410621,11006.689425,5153.804022,events/second
1581664481,5749618,15960.185207,15457.512494,11133.255299,5261.183727,events/second
1581664491,5894338,15919.991740,15307.503288,11242.767282,5362.965830,events/second
1581664501,6050113,15910.985069,15374.027517,11391.219184,5478.025666,events/second
1581664511,6195838,15876.684780,15266.406981,11498.808757,5579.626553,events/second
1581664521,6351613,15869.210039,15297.451886,11629.174467,5688.982507,events/second
1581664531,6495328,15832.702017,15137.302819,11715.673986,5783.798121,events/second
