t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1581662759,1487303,144900.976945,131010.533979,128974.865504,128622.672120,events/second
1581662769,3119857,154060.970226,135974.976977,130101.894048,129006.424935,events/second
1581662779,4748303,156964.846848,140108.014021,131178.310098,129381.398629,events/second
1581662789,6323003,157090.224316,142706.081120,132034.607078,129690.353289,events/second
1581662799,7894831,157108.778996,144936.165113,132855.918849,129992.805578,events/second
1581662809,9458370,156983.651452,146716.934399,133628.458426,130284.612202,events/second
1581662819,10942853,155768.567953,146883.242704,134110.725805,130485.094938,events/second
1581662829,12616703,157216.109332,150025.385029,135200.838359,130892.592811,events/second
1581662839,14284387,158274.462752,152600.947224,136237.162449,131289.501536,events/second
1581662849,15935003,158951.492045,154501.337552,137180.391444,131662.132204,events/second
1581662859,17589291,159539.051565,156201.104561,138112.336720,132037.277209,events/second
1581662869,19098198,158819.785016,155427.981552,138552.964176,132253.627344,events/second
1581662879,20562335,157867.313994,153911.847195,138784.609458,132401.431755,events/second
1581662889,22049153,157212.434991,153210.356872,139110.930653,132580.833314,events/second
1581662899,23726903,157915.406475,155432.511925,140047.780692,132968.751049,events/second
1581662909,25326933,158045.671204,156095.077334,140699.939126,133267.131316,events/second
1581662919,26987603,158516.816865,157641.530749,141535.337638,133630.851788,events/second
1581662929,28646453,158925.557882,158911.754723,142334.241594,133987.437709,events/second
1581662939,30288642,159203.726778,159730.263136,143055.012580,134322.738684,events/second
1581662949,31802453,158813.199414,158404.419450,143325.277292,134510.696677,events/second
1581662959,33407603,158894.141887,158746.255200,143891.570910,134798.903728,events/second
1581662969,35011103,158960.214472,158984.930183,144429.235956,135080.570974,events/second
1581662979,36637986,159122.152765,159544.435058,145025.533883,135384.826304,events/second
1581662989,38257393,159239.434679,159928.890074,145583.296345,135679.324433,events/second
1581662999,39884303,159377.383437,160342.966071,146141.963864,135977.051541,events/second
1581663009,41492303,159432.055503,160408.108179,146617.964902,136249.608848,events/second
1581663019,43142003,159636.860464,161094.312294,147218.607318,136566.730107,events/second
1581663029,44782553,159794.615615,161554.697028,147771.833415,136870.891089,events/second
1581663039,45865469,158020.219980,153005.684269,146463.163548,136553.922624,events/second
1581663049,47521853,158273.919496,154944.531338,147091.967860,136875.366341,events/second
1581663059,49118530,158318.852936,155712.659952,147506.724244,137127.671286,events/second
1581663069,50771007,158535.208407,157150.081310,148083.815243,137436.921119,events/second
1581663079,52353503,158526.538021,157278.089712,148415.788951,137666.873364,events/second
1581663089,54007103,158727.393065,158557.263406,148979.941243,137975.812318,events/second
1581663099,55647653,158879.488508,159363.382805,149467.071379,138261.643012,events/second
1581663109,57283853,159011.080761,160045.434396,149935.421292,138543.215512,events/second
1581663119,58897703,159075.203813,160205.611290,150303.694939,138793.366704,events/second
1581663129,60552203,159242.854971,161012.237513,150801.919246,139088.550485,events/second
1581663139,62202203,159390.364865,161620.095355,151266.756583,139374.665045,events/second
1581663149,63887142,159617.818435,162674.845171,151830.805267,139696.145420,events/second
1581663159,65581995,159858.336058,163717.659751,152407.145053,140024.372382,events/second
1581663169,67227803,159970.718695,163869.780868,152808.176603,140296.236266,events/second
1581663179,68900153,160139.558915,164383.941574,153279.898148,140593.439798,events/second
1581663189,70576853,160310.599502,164898.547318,153754.102346,140893.462602,events/second
1581663199,72235253,160433.412214,165055.989897,154152.392712,141169.770182,events/second
1581663209,73870403,160500.362603,164853.725778,154459.985965,141416.520249,events/second
1581663219,75494303,160540.543229,164511.149245,154723.875185,141649.379671,events/second
1581663229,77126603,160596.537038,164300.185296,155003.308767,141888.232609,events/second
1581663239,78787253,160708.099214,164562.265704,155365.971883,142155.489701,events/second
1581663249,80467514,160854.385695,165078.977807,155776.149892,142439.616337,events/second
1581663259,82120853,160942.169139,165138.909244,156093.816811,142694.039978,events/second
1581663269,83777603,161033.145292,165204.520915,156402.101258,142945.880603,events/second
1581663279,85432543,161117.274959,165246.240028,156701.259828,143195.489933,events/second
1581663289,87075953,161176.941398,165121.046326,156956.606453,143430.895889,events/second
1581663299,88715303,161227.069883,164931.766542,157182.717610,143656.495560,events/second
1581663309,90317700,161209.448427,164183.122608,157285.406090,143841.044366,events/second
1581663319,91982003,161300.998325,164506.855803,157581.017495,144089.252663,events/second
