t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1581663642,131000,12594.455840,11541.669863,11378.675058,11350.634867,events/second
1581663652,268002,13138.613348,11879.182766,11455.984791,11376.995304,events/second
1581663662,405903,13352.960932,12158.856979,11529.483212,11402.634471,events/second
1581663672,533115,13196.587684,12261.357010,11571.101962,11418.012831,events/second
1581663682,672270,13339.231709,12508.681809,11646.434735,11445.088511,events/second
1581663692,811164,13430.324175,12718.736998,11719.482408,11471.929216,events/second
1581663702,938096,13325.606030,12706.002655,11750.254421,11485.077246,events/second
1581663712,1075764,13380.493119,12882.792712,11819.559032,11511.378287,events/second
1581663722,1216211,13453.970221,13060.615940,11891.815485,11539.104879,events/second
1581663732,1349817,13444.658637,13118.538966,11943.396514,11560.437498,events/second
1581663742,1489352,13490.760856,13228.803483,12005.162777,11585.469753,events/second
1581663752,1628040,13522.156384,13322.091485,12064.999039,11610.263333,events/second
1581663762,1765761,13541.317041,13418.006837,12126.784073,11636.117301,events/second
1581663772,1895379,13500.051597,13337.503450,12150.816771,11649.576818,events/second
1581663782,2038246,13552.352303,13477.255366,12219.081750,11678.096445,events/second
1581663792,2168294,13518.217300,13413.087344,12245.376340,11692.866278,events/second
1581663802,2311421,13564.842020,13561.934205,12315.443248,11722.586831,events/second
1581663812,2455575,13611.991987,13683.568080,12382.537661,11751.765349,events/second
1581663822,2592001,13613.589745,13681.278757,12425.142084,11773.119808,events/second
1581663832,2730188,13623.832416,13693.015742,12468.018434,11794.730012,events/second
1581663842,2872458,13652.502462,13779.648137,12526.859193,11822.011630,events/second
1581663852,3010127,13657.692352,13787.312549,12569.675458,11844.236962,events/second
1581663862,3143176,13642.376325,13709.778274,12592.510682,11859.919683,events/second
1581663872,3281958,13652.189480,13731.111069,12633.698903,11881.897015,events/second
1581663882,3428589,13692.560028,13870.178068,12699.282993,11912.303720,events/second
1581663892,3554915,13651.855390,13681.020966,12697.733011,11920.502874,events/second
1581663902,3689995,13646.528632,13665.340442,12726.652438,11938.839877,events/second
1581663912,3830732,13661.769439,13732.532530,12771.441583,11962.622050,events/second
1581663922,3965810,13656.469328,13704.347139,12797.249865,11980.275644,events/second
1581663932,4108959,13678.386711,13781.996389,12843.165057,12004.755555,events/second
1581663942,4253284,13702.683083,13879.048871,12894.737791,12031.405780,events/second
1581663952,4392514,13709.558650,13887.086756,12929.027857,12052.519607,events/second
1581663962,4530635,13712.659680,13878.684947,12957.510791,12071.741059,events/second
1581663972,4672434,13726.387679,13933.464034,12999.649579,12095.744636,events/second
1581663982,4813081,13736.044106,13948.884042,13033.548527,12117.157410,events/second
1581663992,4947741,13728.550348,13863.569213,13045.108177,12131.166393,events/second
1581664002,5089328,13740.166888,13921.631319,13084.518583,12154.558183,events/second
1581664012,5238672,13771.558818,14071.220516,13143.541749,12184.706731,events/second
1581664022,5376784,13772.572560,14055.772833,13171.424266,12204.742311,events/second
1581664032,5523484,13794.986194,14127.505226,13215.737003,12230.359209,events/second
